Time: 3701.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3701.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3702.00, Colonized: 33, Detected: 22, Isolated: 22
Time: 3702.00, Colonized: 33, Detected: 22, Isolated: 22
Time: 3703.00, Colonized: 34, Detected: 22, Isolated: 22
Time: 3703.00, Colonized: 34, Detected: 22, Isolated: 22
Time: 3704.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3704.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3705.00, Colonized: 35, Detected: 21, Isolated: 21
Time: 3705.00, Colonized: 35, Detected: 21, Isolated: 21
Time: 3706.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3706.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3707.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3707.00, Colonized: 34, Detected: 21, Isolated: 21
Time: 3708.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3708.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3709.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3709.00, Colonized: 37, Detected: 21, Isolated: 21
Time: 3710.00, Colonized: 37, Detected: 23, Isolated: 23
Time: 3710.00, Colonized: 37, Detected: 23, Isolated: 23
Time: 3711.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3711.00, Colonized: 36, Detected: 24, Isolated: 24
Time: 3712.00, Colonized: 36, Detected: 23, Isolated: 23
Time: 3712.00, Colonized: 36, Detected: 23, Isolated: 23
Time: 3713.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3713.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3714.00, Colonized: 41, Detected: 26, Isolated: 26
Time: 3714.00, Colonized: 41, Detected: 26, Isolated: 26
Time: 3715.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3715.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3716.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3716.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3717.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3717.00, Colonized: 41, Detected: 29, Isolated: 29
Time: 3718.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3718.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3719.00, Colonized: 38, Detected: 26, Isolated: 26
Time: 3719.00, Colonized: 38, Detected: 26, Isolated: 26
Time: 3720.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3720.00, Colonized: 39, Detected: 25, Isolated: 25
Time: 3721.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3721.00, Colonized: 40, Detected: 27, Isolated: 27
Time: 3722.00, Colonized: 40, Detected: 28, Isolated: 28
Time: 3722.00, Colonized: 40, Detected: 28, Isolated: 28
Time: 3723.00, Colonized: 41, Detected: 30, Isolated: 30
Time: 3723.00, Colonized: 41, Detected: 30, Isolated: 30
Time: 3724.00, Colonized: 40, Detected: 28, Isolated: 28
Time: 3724.00, Colonized: 40, Detected: 28, Isolated: 28
Time: 3725.00, Colonized: 38, Detected: 28, Isolated: 28
Time: 3725.00, Colonized: 38, Detected: 28, Isolated: 28
Time: 3726.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3726.00, Colonized: 39, Detected: 29, Isolated: 29
Time: 3727.00, Colonized: 40, Detected: 29, Isolated: 29
Time: 3727.00, Colonized: 40, Detected: 29, Isolated: 29
Time: 3728.00, Colonized: 37, Detected: 27, Isolated: 27
Time: 3728.00, Colonized: 37, Detected: 27, Isolated: 27
Time: 3729.00, Colonized: 39, Detected: 28, Isolated: 28
Time: 3729.00, Colonized: 39, Detected: 28, Isolated: 28
Time: 3730.00, Colonized: 42, Detected: 30, Isolated: 30
Time: 3730.00, Colonized: 42, Detected: 30, Isolated: 30
Time: 3731.00, Colonized: 43, Detected: 30, Isolated: 30
Time: 3731.00, Colonized: 43, Detected: 30, Isolated: 30
Time: 3732.00, Colonized: 42, Detected: 28, Isolated: 28
Time: 3732.00, Colonized: 42, Detected: 28, Isolated: 28
Time: 3733.00, Colonized: 42, Detected: 29, Isolated: 29
Time: 3733.00, Colonized: 42, Detected: 29, Isolated: 29
Time: 3734.00, Colonized: 44, Detected: 29, Isolated: 29
Time: 3734.00, Colonized: 44, Detected: 29, Isolated: 29
Time: 3735.00, Colonized: 45, Detected: 30, Isolated: 30
Time: 3735.00, Colonized: 45, Detected: 30, Isolated: 30
Time: 3736.00, Colonized: 45, Detected: 29, Isolated: 29
Time: 3736.00, Colonized: 45, Detected: 29, Isolated: 29
Time: 3737.00, Colonized: 47, Detected: 31, Isolated: 31
Time: 3737.00, Colonized: 47, Detected: 31, Isolated: 31
Time: 3738.00, Colonized: 48, Detected: 29, Isolated: 29
Time: 3738.00, Colonized: 48, Detected: 29, Isolated: 29
Time: 3739.00, Colonized: 44, Detected: 25, Isolated: 25
Time: 3739.00, Colonized: 44, Detected: 25, Isolated: 25
Time: 3740.00, Colonized: 45, Detected: 24, Isolated: 24
Time: 3740.00, Colonized: 45, Detected: 24, Isolated: 24
Time: 3741.00, Colonized: 44, Detected: 26, Isolated: 26
Time: 3741.00, Colonized: 44, Detected: 26, Isolated: 26
Time: 3742.00, Colonized: 46, Detected: 28, Isolated: 28
Time: 3742.00, Colonized: 46, Detected: 28, Isolated: 28
Time: 3743.00, Colonized: 44, Detected: 25, Isolated: 25
Time: 3743.00, Colonized: 44, Detected: 25, Isolated: 25
Time: 3744.00, Colonized: 43, Detected: 23, Isolated: 23
Time: 3744.00, Colonized: 43, Detected: 23, Isolated: 23
Time: 3745.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3745.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3746.00, Colonized: 45, Detected: 25, Isolated: 25
Time: 3746.00, Colonized: 45, Detected: 25, Isolated: 25
Time: 3747.00, Colonized: 44, Detected: 24, Isolated: 24
Time: 3747.00, Colonized: 44, Detected: 24, Isolated: 24
Time: 3748.00, Colonized: 43, Detected: 27, Isolated: 27
Time: 3748.00, Colonized: 43, Detected: 27, Isolated: 27
Time: 3749.00, Colonized: 40, Detected: 25, Isolated: 25
